year	club	position	name	country	matchs	goals	assists	age	ovr	image
2022.0	al-ahly	GOL	M. Sharqieh	eg	1.0	0.0	0.0	30.0	30.0	https://cdn.resfu.com/media/img/nofoto_jugador.png?size=50x&amp;lossy=1
2022.0	al-ahly	GOL	M. El Shenawy	eg	24.0	0.0	0.0	34.0	68.0	https://cdn.resfu.com/img_data/players/medium/377088.jpg?
2022.0	al-ahly	ZAG	Aly Lotfi	eg	7.0	0.0	0.0	33.0	46.0	https://cdn.resfu.com/img_data/players/medium/389548.jpg?
2022.0	al-ahly	ZAG	M. Shobeir	eg	5.0	2.0	0.0	22.0	36.0	https://cdn.resfu.com/img_data/players/medium/961438.jpg?
2022.0	al-ahly	ZAG	Ali Amr	eg	0.0	0.0	0.0	35.0	25.0	https://cdn.resfu.com/img_data/players/medium/3234859.jpg?
2022.0	al-ahly	ZAG	Hamza Alaa	eg	1.0	0.0	0.0	21.0	25.0	https://cdn.resfu.com/media/img/nofoto_jugador.png?size=50x&amp;lossy=1
2022.0	al-ahly	ZAG	A. Maâloul	tn	21.0	8.0	4.0	32.0	67.0	https://cdn.resfu.com/img_data/players/medium/246121.jpg?
2022.0	al-ahly	ZAG	Yasser Ibrahim	eg	17.0	0.0	0.0	29.0	64.0	https://cdn.resfu.com/img_data/players/medium/296476.jpg?
2022.0	al-ahly	ZAG	A. Ashraf	eg	17.0	1.0	0.0	31.0	63.0	https://cdn.resfu.com/img_data/players/medium/295080.jpg?
2022.0	al-ahly	ZAG	Akram Tawfik	eg	7.0	0.0	1.0	25.0	60.0	https://cdn.resfu.com/img_data/players/medium/419357.jpg?
2022.0	al-ahly	ZAG	M. Hany	eg	22.0	0.0	2.0	26.0	60.0	https://cdn.resfu.com/img_data/players/medium/296477.jpg?
2022.0	al-ahly	ZAG	R. Rabia	eg	20.0	3.0	2.0	29.0	59.0	https://cdn.resfu.com/img_data/players/medium/159420.jpg?
2022.0	al-ahly	ZAG	Karim Fouad	eg	22.0	1.0	2.0	23.0	57.0	https://cdn.resfu.com/img_data/players/medium/848016.jpg?
2022.0	al-ahly	ZAG	M. Mahmoud	eg	5.0	0.0	0.0	29.0	48.0	https://cdn.resfu.com/media/img/nofoto_jugador.png?size=50x&amp;lossy=1
2022.0	al-ahly	ZAG	Mahmoud Metwally	eg	2.0	0.0	0.0	29.0	46.0	https://cdn.resfu.com/img_data/players/medium/1017943.jpg?
2022.0	al-ahly	ZAG	Mahmoud Waheed	eg	9.0	0.0	0.0	28.0	45.0	https://cdn.resfu.com/img_data/players/medium/309295.jpg?
2022.0	al-ahly	ZAG	M. Ashraf	eg	7.0	0.0	1.0	21.0	44.0	https://cdn.resfu.com/media/img/nofoto_jugador.png?size=50x&amp;lossy=1
2022.0	al-ahly	MEI	A. Abdel-Nabi	eg	4.0	0.0	0.0	30.0	32.0	https://cdn.resfu.com/media/img/nofoto_jugador.png?size=50x&amp;lossy=1
2022.0	al-ahly	MEI	Raafat Khalil	eg	3.0	1.0	0.0	18.0	32.0	https://cdn.resfu.com/img_data/players/medium/3230821.jpg?
2022.0	al-ahly	MEI	Mido El Nagar	eg	1.0	0.0	0.0	22.0	37.0	https://cdn.resfu.com/media/img/nofoto_jugador.png?size=50x&amp;lossy=1
2022.0	al-ahly	MEI	Mohamed Sharkia	eg	2.0	0.0	0.0	19.0	32.0	https://cdn.resfu.com/media/img/nofoto_jugador.png?size=50x&amp;lossy=1
2022.0	al-ahly	MEI	A. Dieng	ml	21.0	2.0	1.0	25.0	62.0	https://cdn.resfu.com/img_data/players/medium/313080.jpg?
2022.0	al-ahly	MEI	Hamdi Fathi	eg	20.0	1.0	3.0	28.0	65.0	https://cdn.resfu.com/img_data/players/medium/426236.jpg?
2022.0	al-ahly	MEI	Afsha	eg	26.0	8.0	5.0	26.0	65.0	https://cdn.resfu.com/img_data/players/medium/386605.jpg?
2022.0	al-ahly	MEI	Mohamed Abdelmonem	eg	15.0	0.0	0.0	23.0	62.0	https://cdn.resfu.com/img_data/players/medium/717990.jpg?
2022.0	al-ahly	MEI	Ahmed Abdelkader	eg	24.0	3.0	5.0	23.0	56.0	https://cdn.resfu.com/img_data/players/medium/1017946.jpg?
