year	club	position	name	country	matchs	goals	assists	age	ovr	image
2022.0	argentinos-juniors	GOL	F. Lanzillotta	ar	27.0	0.0	0.0	30.0	77.0	https://cdn.resfu.com/img_data/players/medium/135961.jpg?
2022.0	argentinos-juniors	GOL	Miguel Acosta	ar	0.0	0.0	0.0	21.0	37.0	https://cdn.resfu.com/img_data/players/medium/920186.jpg?
2022.0	argentinos-juniors	ZAG	K. Mac Allister	ar	17.0	2.0	0.0	25.0	79.0	https://cdn.resfu.com/img_data/players/medium/317952.jpg?
2022.0	argentinos-juniors	ZAG	L. Villalba	ar	25.0	0.0	2.0	28.0	79.0	https://cdn.resfu.com/img_data/players/medium/146113.jpg?
2022.0	argentinos-juniors	ZAG	M. Torrén	ar	20.0	2.0	0.0	34.0	78.0	https://cdn.resfu.com/img_data/players/medium/71665.jpg?
2022.0	argentinos-juniors	ZAG	L. Sánchez	ar	24.0	1.0	1.0	28.0	66.0	https://cdn.resfu.com/img_data/players/medium/278951.jpg?
2022.0	argentinos-juniors	ZAG	L. González	ar	11.0	0.0	1.0	28.0	65.0	https://cdn.resfu.com/img_data/players/medium/198569.jpg?
2022.0	argentinos-juniors	ZAG	M. Bittolo	ar	16.0	0.0	0.0	32.0	65.0	https://cdn.resfu.com/img_data/players/medium/72140.jpg?
2022.0	argentinos-juniors	ZAG	L. Gomez	ar	9.0	0.0	0.0	26.0	57.0	https://cdn.resfu.com/img_data/players/medium/314227.jpg?
2022.0	argentinos-juniors	MEI	P. Minissale	ar	6.0	0.0	0.0	21.0	52.0	https://cdn.resfu.com/img_data/players/medium/923857.jpg?
2022.0	argentinos-juniors	MEI	Marco Di Cesare	ar	8.0	0.0	0.0	20.0	52.0	https://cdn.resfu.com/img_data/players/medium/923891.jpg?
2022.0	argentinos-juniors	MEI	F. Moyano	ar	25.0	1.0	0.0	25.0	72.0	https://cdn.resfu.com/img_data/players/medium/357581.jpg?
2022.0	argentinos-juniors	MEI	G. Carabajal	ar	11.0	2.0	2.0	31.0	71.0	https://cdn.resfu.com/img_data/players/medium/159217.jpg?
2022.0	argentinos-juniors	MEI	A. Rodríguez	uy	15.0	1.0	0.0	22.0	70.0	https://cdn.resfu.com/img_data/players/medium/365320.jpg?
2022.0	argentinos-juniors	MEI	A. Roa	co	18.0	1.0	2.0	29.0	68.0	https://cdn.resfu.com/img_data/players/medium/248200.jpg?
