year	club	position	name	country	matchs	goals	assists	age	ovr	image
2022.0	america	GOL	G. Ochoa	mx	17.0	0.0	0.0	37.0	84.0	https://cdn.resfu.com/img_data/players/medium/183235.jpg?
2022.0	america	GOL	Óscar Jiménez	mx	0.0	0.0	0.0	34.0	58.0	https://cdn.resfu.com/img_data/players/medium/185622.jpg?
2022.0	america	ZAG	J. Sánchez	mx	15.0	0.0	2.0	25.0	76.0	https://cdn.resfu.com/img_data/players/medium/319807.jpg?
2022.0	america	ZAG	B. Valdez	py	12.0	2.0	0.0	30.0	75.0	https://cdn.resfu.com/img_data/players/medium/211051.jpg?
2022.0	america	ZAG	L. Fuentes	mx	14.0	0.0	0.0	36.0	75.0	https://cdn.resfu.com/img_data/players/medium/70476.jpg?
2022.0	america	ZAG	S. Cáceres	uy	11.0	0.0	0.0	23.0	75.0	https://cdn.resfu.com/img_data/players/medium/428324.jpg?
2022.0	america	ZAG	M. Layún	mx	9.0	0.0	0.0	34.0	72.0	https://cdn.resfu.com/img_data/players/medium/69139.jpg?
2022.0	america	ZAG	J. Silva	mx	9.0	0.0	1.0	28.0	64.0	https://cdn.resfu.com/img_data/players/medium/210909.jpg?
2022.0	america	MEI	J. Meré	es	9.0	0.0	0.0	25.0	62.0	https://cdn.resfu.com/img_data/players/medium/176160.jpg?
2022.0	america	MEI	D. Valdés	cl	15.0	5.0	3.0	28.0	81.0	https://cdn.resfu.com/img_data/players/medium/182728.jpg?
2022.0	america	MEI	Á. Fidalgo	es	17.0	2.0	0.0	25.0	77.0	https://cdn.resfu.com/img_data/players/medium/283898.jpg?
2022.0	america	MEI	R. Sánchez	py	15.0	1.0	1.0	26.0	76.0	https://cdn.resfu.com/img_data/players/medium/329867.jpg?
2022.0	america	MEI	S. Reyes	mx	14.0	2.0	0.0	24.0	71.0	https://cdn.resfu.com/img_data/players/medium/381110.jpg?
2022.0	america	MEI	E. Lara	mx	1.0	0.0	0.0	20.0	68.0	https://cdn.resfu.com/img_data/players/medium/829543.jpg?
2022.0	america	MEI	J. Dos Santos	mx	9.0	0.0	1.0	32.0	67.0	https://cdn.resfu.com/img_data/players/medium/40930.jpg?
2022.0	america	MEI	P. Aquino	pe	6.0	0.0	1.0	27.0	67.0	https://cdn.resfu.com/img_data/players/medium/226170.jpg?
