year	club	position	name	country	matchs	goals	assists	age	ovr	image
2022.0	benfica	GOL	O. Vlachodimos	gr	32.0	0.0	0.0	28.0	84.0	https://cdn.resfu.com/img_data/players/medium/194167.jpg?
2022.0	benfica	GOL	Helton Leite	br	2.0	0.0	0.0	32.0	54.0	https://cdn.resfu.com/img_data/players/medium/180906.jpg?
2022.0	benfica	ZAG	M. Svilar	rs	0.0	0.0	0.0	23.0	55.0	https://cdn.resfu.com/img_data/players/medium/274687.jpg?
2022.0	benfica	ZAG	N. Otamendi	ar	28.0	0.0	1.0	34.0	87.0	https://cdn.resfu.com/img_data/players/medium/54978.jpg?
2022.0	benfica	ZAG	A. Grimaldo	es	29.0	5.0	5.0	27.0	85.0	https://cdn.resfu.com/img_data/players/medium/118948.jpg?
2022.0	benfica	ZAG	J. Vertonghen	be	28.0	0.0	2.0	35.0	79.0	https://cdn.resfu.com/img_data/players/medium/29663.jpg?
2022.0	benfica	ZAG	Gilberto	br	21.0	2.0	3.0	29.0	72.0	https://cdn.resfu.com/img_data/players/medium/186024.jpg?
2022.0	benfica	ZAG	Lucas Veríssimo	br	10.0	3.0	1.0	27.0	68.0	https://cdn.resfu.com/img_data/players/medium/323704.jpg?
2022.0	benfica	ZAG	A. Almeida	pt	15.0	0.0	0.0	32.0	62.0	https://cdn.resfu.com/img_data/players/medium/59268.jpg?
2022.0	benfica	MEI	V. Lazaro	at	18.0	0.0	1.0	26.0	67.0	https://cdn.resfu.com/img_data/players/medium/159259.jpg?
2022.0	benfica	MEI	Morato	br	14.0	0.0	0.0	21.0	67.0	https://cdn.resfu.com/img_data/players/medium/864181.jpg?
2022.0	benfica	MEI	João Mário	pt	28.0	3.0	3.0	29.0	81.0	https://cdn.resfu.com/img_data/players/medium/149028.jpg?
2022.0	benfica	MEI	J. Weigl	de	29.0	2.0	3.0	27.0	76.0	https://cdn.resfu.com/img_data/players/medium/185773.jpg?
2022.0	benfica	MEI	A. Taarabt	ma	23.0	1.0	4.0	33.0	68.0	https://cdn.resfu.com/img_data/players/medium/467.jpg?
2022.0	benfica	MEI	S. Meïté	fr	17.0	0.0	0.0	28.0	63.0	https://cdn.resfu.com/img_data/players/medium/140345.jpg?
2022.0	benfica	MEI	P. Bernardo	pt	16.0	0.0	0.0	20.0	63.0	https://cdn.resfu.com/img_data/players/medium/798690.jpg?
2022.0	benfica	MEI	Rafa Silva	pt	28.0	8.0	14.0	29.0	83.0	https://cdn.resfu.com/img_data/players/medium/160448.jpg?
2022.0	benfica	MEI	D. Núñez	uy	28.0	26.0	4.0	23.0	82.0	https://cdn.resfu.com/img_data/players/medium/462860.jpg?
2022.0	benfica	ATA	G. Ramos	pt	29.0	7.0	1.0	21.0	79.0	https://cdn.resfu.com/img_data/players/medium/677933.jpg?
2022.0	benfica	ATA	Everton	br	27.0	3.0	5.0	26.0	78.0	https://cdn.resfu.com/img_data/players/medium/213406.jpg?
2022.0	benfica	ATA	H. Seferović	ch	10.0	3.0	2.0	30.0	72.0	https://cdn.resfu.com/img_data/players/medium/50808.jpg?
2022.0	benfica	ATA	R. Yaremchuk	ua	23.0	6.0	3.0	27.0	72.0	https://cdn.resfu.com/img_data/players/medium/229497.jpg?
2022.0	benfica	ATA	Diogo Gonçalves	pt	23.0	0.0	1.0	25.0	61.0	https://cdn.resfu.com/img_data/players/medium/277100.jpg?
2022.0	benfica	ATA	Rodrigo Pinho	br	3.0	1.0	0.0	31.0	60.0	https://cdn.resfu.com/img_data/players/medium/248988.jpg?
2022.0	benfica	ATA	Gil Dias	pt	12.0	1.0	1.0	26.0	60.0	https://cdn.resfu.com/img_data/players/medium/277404.jpg?
2022.0	benfica	ATA	N. Radonjić	rs	7.0	0.0	0.0	26.0	65.0	https://cdn.resfu.com/img_data/players/medium/234543.jpg?
2021.0	benfica	GOL	O. Vlachodimos	gr	18.0	0.0	0.0	27.0	84.0	https://cdn.resfu.com/img_data/players/medium/194167.jpg?
2021.0	benfica	GOL	Helton Leite	br	15.0	0.0	0.0	31.0	54.0	https://cdn.resfu.com/img_data/players/medium/180906.jpg?
2021.0	benfica	ZAG	M. Svilar	rs	1.0	1.0	0.0	22.0	55.0	https://cdn.resfu.com/img_data/players/medium/274687.jpg?
2021.0	benfica	ZAG	Fábio Duarte	pt	0.0	0.0	0.0	23.0	43.0	https://cdn.resfu.com/img_data/players/medium/290142.jpg?
2021.0	benfica	ZAG	N. Otamendi	ar	27.0	1.0	0.0	33.0	87.0	https://cdn.resfu.com/img_data/players/medium/54978.jpg?
2021.0	benfica	ZAG	A. Grimaldo	es	31.0	2.0	9.0	26.0	85.0	https://cdn.resfu.com/img_data/players/medium/118948.jpg?
2021.0	benfica	ZAG	J. Vertonghen	be	28.0	0.0	0.0	34.0	79.0	https://cdn.resfu.com/img_data/players/medium/29663.jpg?
2021.0	benfica	ZAG	J. Todibo	fr	0.0	0.0	0.0	21.0	77.0	https://cdn.resfu.com/img_data/players/medium/506831.jpg?
2021.0	benfica	ZAG	Nuno Tavares	pt	14.0	0.0	0.0	21.0	75.0	https://cdn.resfu.com/img_data/players/medium/426830.jpg?
2021.0	benfica	ZAG	Gilberto	br	24.0	0.0	1.0	28.0	72.0	https://cdn.resfu.com/img_data/players/medium/186024.jpg?
2021.0	benfica	ZAG	Lucas Veríssimo	br	14.0	2.0	0.0	26.0	68.0	https://cdn.resfu.com/img_data/players/medium/323704.jpg?
2021.0	benfica	MEI	A. Almeida	pt	4.0	0.0	1.0	31.0	62.0	https://cdn.resfu.com/img_data/players/medium/59268.jpg?
2021.0	benfica	MEI	Jardel	br	8.0	0.0	0.0	35.0	0.0	https://cdn.resfu.com/img_data/players/medium/70893.jpg?
2021.0	benfica	MEI	Morato	br	2.0	0.0	0.0	20.0	67.0	https://cdn.resfu.com/img_data/players/medium/864181.jpg?
2021.0	benfica	MEI	J. Ferreira	pt	1.0	0.0	0.0	20.0	56.0	https://cdn.resfu.com/img_data/players/medium/652876.jpg?
2021.0	benfica	MEI	J. Weigl	de	28.0	0.0	0.0	26.0	76.0	https://cdn.resfu.com/img_data/players/medium/185773.jpg?
2021.0	benfica	MEI	Pizzi	pt	32.0	6.0	4.0	32.0	71.0	https://cdn.resfu.com/img_data/players/medium/60051.jpg?
