club_name,club_country,image
arsenal,gb,cdn.resfu.com/img_data/equipos/263.png
aston-villa-fc,gb,cdn.resfu.com/img_data/equipos/297.png
chelsea-fc,gb,cdn.resfu.com/img_data/equipos/752.png
everton-fc,gb,cdn.resfu.com/img_data/equipos/1017.png
liverpool,gb,cdn.resfu.com/img_data/equipos/3845.png
manchester-city-fc,gb,cdn.resfu.com/img_data/equipos/1633.png
manchester-united-fc,gb,cdn.resfu.com/img_data/equipos/1635.png
newcastle-united-fc,gb,cdn.resfu.com/img_data/equipos/1796.png
tottenham-hotspur-fc,gb,cdn.resfu.com/img_data/equipos/2523.png
west-ham-united,gb,cdn.resfu.com/img_data/equipos/2804.png
wolverhampton,gb,cdn.resfu.com/img_data/equipos/5651.png
birmingham-city-fc,gb,cdn.resfu.com/img_data/equipos/502.png
blackburn-rovers-fc,gb,cdn.resfu.com/img_data/equipos/507.png
blackpool-fc,gb,cdn.resfu.com/img_data/equipos/508.png
bolton-wanderers-fc,gb,cdn.resfu.com/img_data/equipos/526.png
burnley-fc,gb,cdn.resfu.com/img_data/equipos/569.png
afc-bournemouth,gb,cdn.resfu.com/img_data/equipos/80.png
brighton-amp-hov,gb,cdn.resfu.com/img_data/equipos/5652.png
brentford,gb,cdn.resfu.com/img_data/equipos/9179.png
cardiff-city-fc,wa,cdn.resfu.com/img_data/equipos/636.png
charlton-athletic-fc,gb,cdn.resfu.com/img_data/equipos/751.png
crystal-palace-fc,gb,cdn.resfu.com/img_data/equipos/860.png
derby-county-fc,gb,cdn.resfu.com/img_data/equipos/916.png
fulham,gb,cdn.resfu.com/img_data/equipos/1183.png
huddersfield-town-fc,gb,cdn.resfu.com/img_data/equipos/1337.png
hull-city,gb,cdn.resfu.com/img_data/equipos/1341.png
ipswich-town-fc,gb,cdn.resfu.com/img_data/equipos/1387.png
leeds-united-afc,gb,cdn.resfu.com/img_data/equipos/1533.png
leicester-city-fc,gb,cdn.resfu.com/img_data/equipos/1538.png
middlesbrough-fc,gb,cdn.resfu.com/img_data/equipos/1689.png
millwall-fc,gb,cdn.resfu.com/img_data/equipos/1694.png
norwich-city-fc,gb,cdn.resfu.com/img_data/equipos/1824.png
nottingham-forest-fc,gb,cdn.resfu.com/img_data/equipos/1825.png
plymouth-argyle,gb,cdn.resfu.com/img_data/equipos/9211.png
portsmouth,gb,cdn.resfu.com/img_data/equipos/2004.png
preston-north-end,gb,cdn.resfu.com/img_data/equipos/9184.png
queens-park-rangers-fc,gb,cdn.resfu.com/img_data/equipos/2044.png
reading-fc,gb,cdn.resfu.com/img_data/equipos/2092.png
rotherham-united,gb,cdn.resfu.com/img_data/equipos/9194.png
sheffield-united,gb,cdn.resfu.com/img_data/equipos/9182.png
southampton-fc,gb,cdn.resfu.com/img_data/equipos/2369.png
stoke-city,gb,cdn.resfu.com/img_data/equipos/2429.png
sunderland-afc,gb,cdn.resfu.com/img_data/equipos/2438.png
swansea-city-afc,wa,cdn.resfu.com/img_data/equipos/2453.png
watford-fc,gb,cdn.resfu.com/img_data/equipos/2743.png
west-bromwich,gb,cdn.resfu.com/img_data/equipos/2748.png
wigan-athletic,gb,cdn.resfu.com/img_data/equipos/2753.png
atalanta,it,cdn.resfu.com/img_data/equipos/339.png
bologna,it,cdn.resfu.com/img_data/equipos/522.png
cagliari,it,cdn.resfu.com/img_data/equipos/609.png
empoli-fc,it,cdn.resfu.com/img_data/equipos/983.png
fiorentina,it,cdn.resfu.com/img_data/equipos/1142.png
hellas-verona-fc,it,cdn.resfu.com/img_data/equipos/1305.png
internazionale,it,cdn.resfu.com/img_data/equipos/1381.png
juventus-fc,it,cdn.resfu.com/img_data/equipos/1430.png
lazio,it,cdn.resfu.com/img_data/equipos/1526.png
milan,it,cdn.resfu.com/img_data/equipos/1692.png
napoli,it,cdn.resfu.com/img_data/equipos/1777.png
palermo,it,cdn.resfu.com/img_data/equipos/1906.png
parma-fc,it,cdn.resfu.com/img_data/equipos/1927.png
roma,it,cdn.resfu.com/img_data/equipos/2176.png
sampdoria,it,cdn.resfu.com/img_data/equipos/2215.png
us-sassuolo-calcio,it,cdn.resfu.com/img_data/equipos/2634.png
torino-fc,it,cdn.resfu.com/img_data/equipos/2508.png
udinese,it,cdn.resfu.com/img_data/equipos/2573.png
as-bari,it,cdn.resfu.com/img_data/equipos/271.png
brescia,it,cdn.resfu.com/img_data/equipos/544.png
chievo,it,cdn.resfu.com/img_data/equipos/4787.png
us-cremonese,it,cdn.resfu.com/img_data/equipos/2625.png
frosinone-calcio,it,cdn.resfu.com/img_data/equipos/1174.png
genoa,it,cdn.resfu.com/img_data/equipos/4101.png
lecce,it,cdn.resfu.com/img_data/equipos/1531.png
ac-monza-brianza-1912,it,cdn.resfu.com/img_data/equipos/47.png
perugia,it,cdn.resfu.com/img_data/equipos/1954.png
pisa-calcio,it,cdn.resfu.com/img_data/equipos/1973.png
reggina,it,cdn.resfu.com/img_data/equipos/2146.png
salernitana-calcio-1919,it,cdn.resfu.com/img_data/equipos/2209.png
spal-1907,it,cdn.resfu.com/img_data/equipos/2376.png
asd-spezia,it,cdn.resfu.com/img_data/equipos/2817.png
venezia,it,cdn.resfu.com/img_data/equipos/2673.png
athletic-bilbao,es,cdn.resfu.com/img_data/equipos/347.png
atletico-madrid,es,cdn.resfu.com/img_data/equipos/369.png
barcelona,es,cdn.resfu.com/img_data/equipos/429.png
betis,es,cdn.resfu.com/img_data/equipos/486.png
celta,es,cdn.resfu.com/img_data/equipos/712.png
espanyol,es,cdn.resfu.com/img_data/equipos/998.png
mallorca,es,cdn.resfu.com/img_data/equipos/1623.png
osasuna,es,cdn.resfu.com/img_data/equipos/1887.png
real-madrid,es,cdn.resfu.com/img_data/equipos/2107.png
real-sociedad,es,cdn.resfu.com/img_data/equipos/2120.png
sevilla,es,cdn.resfu.com/img_data/equipos/1102.png
valencia-cf,es,cdn.resfu.com/img_data/equipos/2647.png
villarreal,es,cdn.resfu.com/img_data/equipos/2716.png
alaves,es,cdn.resfu.com/img_data/equipos/137.png
almeria,es,cdn.resfu.com/img_data/equipos/183.png
cadiz,es,cdn.resfu.com/img_data/equipos/603.png
deportivo,es,cdn.resfu.com/img_data/equipos/901.png
elche,es,cdn.resfu.com/img_data/equipos/975.png
getafe,es,cdn.resfu.com/img_data/equipos/1217.png
girona-fc,es,cdn.resfu.com/img_data/equipos/1236.png
granada,es,cdn.resfu.com/img_data/equipos/4235.png
huesca,es,cdn.resfu.com/img_data/equipos/1339.png
levante,es,cdn.resfu.com/img_data/equipos/1547.png
malaga,es,cdn.resfu.com/img_data/equipos/1617.png
rm-castilla,es,cdn.resfu.com/img_data/equipos/2170.png
tenerife,es,cdn.resfu.com/img_data/equipos/2477.png
ud-palmas,es,cdn.resfu.com/img_data/equipos/2563.png
racing,es,cdn.resfu.com/img_data/equipos/2052.png
rayo-vallecano,es,cdn.resfu.com/img_data/equipos/2080.png
real-zaragoza,es,cdn.resfu.com/img_data/equipos/2136.png
sporting-gijon,es,cdn.resfu.com/img_data/equipos/2125.png
valladolid,es,cdn.resfu.com/img_data/equipos/2654.png
fc-augsburg,de,cdn.resfu.com/img_data/equipos/1039.png
bayer-leverkusen,de,cdn.resfu.com/img_data/equipos/3668.png
borussia-dortmund,de,cdn.resfu.com/img_data/equipos/530.png
borussia-monchengla,de,cdn.resfu.com/img_data/equipos/5623.png
bayern-munchen,de,cdn.resfu.com/img_data/equipos/449.png
1-fc-koln,de,cdn.resfu.com/img_data/equipos/4.png
eintracht-frankfurt,de,cdn.resfu.com/img_data/equipos/960.png
hamburger-sv,de,cdn.resfu.com/img_data/equipos/1286.png
hertha-bsc,de,cdn.resfu.com/img_data/equipos/1319.png
tsg-1899-hoffenheim,de,cdn.resfu.com/img_data/equipos/2542.png
mainz-amat,de,cdn.resfu.com/img_data/equipos/2987.png
rb-leipzig,de,cdn.resfu.com/img_data/equipos/9750.png
schalke-04,de,cdn.resfu.com/img_data/equipos/2294.png
sc-freiburg,de,cdn.resfu.com/img_data/equipos/2286.png
1-fc-union-berlin,de,cdn.resfu.com/img_data/equipos/8.png
stuttgart,de,cdn.resfu.com/img_data/equipos/2433.png
werder-bremen,de,cdn.resfu.com/img_data/equipos/2746.png
wolfsburg,de,cdn.resfu.com/img_data/equipos/2760.png
1860-munchen,de,cdn.resfu.com/img_data/equipos/12.png
arminia-bielefeld,de,cdn.resfu.com/img_data/equipos/258.png
bochum,de,cdn.resfu.com/img_data/equipos/515.png
darmstadt-98,de,cdn.resfu.com/img_data/equipos/5664.png
eintracht-brau-hellip,de,cdn.resfu.com/img_data/equipos/5116.png
hansa-rostock,de,cdn.resfu.com/img_data/equipos/1292.png
karlsruher-sc,de,cdn.resfu.com/img_data/equipos/1443.png
fc-nurnberg,de,cdn.resfu.com/img_data/equipos/1092.png
fortuna-dusseldorf,de,cdn.resfu.com/img_data/equipos/1166.png
hannover-96,de,cdn.resfu.com/img_data/equipos/1291.png
kaiserslautern,de,cdn.resfu.com/img_data/equipos/1435.png
paderborn,de,cdn.resfu.com/img_data/equipos/4800.png
saarbrucken,de,cdn.resfu.com/img_data/equipos/9706.png
sg-dynamo-dresden,de,cdn.resfu.com/img_data/equipos/2316.png
st-pauli,de,cdn.resfu.com/img_data/equipos/2418.png
angers-sco,fr,cdn.resfu.com/img_data/equipos/224.png
ajaccio,fr,cdn.resfu.com/img_data/equipos/97.png
auxerre,fr,cdn.resfu.com/img_data/equipos/399.png
bastia,fr,cdn.resfu.com/img_data/equipos/445.png
bordeaux,fr,cdn.resfu.com/img_data/equipos/527.png
caen,fr,cdn.resfu.com/img_data/equipos/606.png
clermont-foot,fr,cdn.resfu.com/img_data/equipos/788.png
dijon-fco,fr,cdn.resfu.com/img_data/equipos/924.png
guingamp,fr,cdn.resfu.com/img_data/equipos/1274.png
havre-ac,fr,cdn.resfu.com/img_data/equipos/1527.png
lens,fr,cdn.resfu.com/img_data/equipos/1544.png
lillestrom,fr,cdn.resfu.com/img_data/equipos/3015.png
lorient,fr,cdn.resfu.com/img_data/equipos/1586.png
metz,fr,cdn.resfu.com/img_data/equipos/1682.png
monaco,mc,cdn.resfu.com/img_data/equipos/1713.png
montpellier-hsc,fr,cdn.resfu.com/img_data/equipos/1728.png
nancy,fr,cdn.resfu.com/img_data/equipos/1775.png
nantes,fr,cdn.resfu.com/img_data/equipos/1776.png
nice,fr,cdn.resfu.com/img_data/equipos/1799.png
